userId,storyId,score,time,mode
194988485,fr-en-le-serveur-a-raison,7,2021-02-26 22:47:48,READ
194988485,fr-en-je-suis-malade,7,2021-02-26 22:49:47,READ
194988485,fr-en-je-veux-une-pizza,6,2021-02-26 22:51:44,READ
194988485,fr-en-le-journal,7,2021-02-27 14:26:39,READ
194988485,fr-en-les-fleurs-d-oscar,7,2021-02-27 14:28:28,READ
194988485,fr-en-l-anniversaire-d-eddy,7,2021-02-28 04:02:51,READ
194988485,fr-allons-a-la-plage,7,2021-02-28 04:04:21,READ
194988485,fr-en-comment-tu-t-appelles,7,2021-02-28 04:06:43,READ
194988485,fr-une-conversation-interessante,7,2021-02-28 04:08:19,READ
194988485,fr-je-suis-prete,7,2021-02-28 22:13:05,READ
194988485,fr-en-ce-n-est-pas-pour-les-enfants,7,2021-02-28 22:15:00,READ
194988485,fr-trois-mois,7,2021-03-02 00:04:15,READ
194988485,fr-le-nouvel-endroit,7,2021-03-02 00:06:30,READ
194988485,fr-c-est-trop-dangereux,7,2021-03-03 14:23:20,READ
194988485,fr-un-dessin-dans-le-parc,7,2021-03-03 14:25:09,READ
194988485,fr-en-le-devoir-d-art,6,2021-03-04 23:24:54,READ
194988485,fr-en-une-soiree-speciale,7,2021-03-05 14:56:14,READ
194988485,fr-en-soiree-pizza,6,2021-03-08 12:34:22,READ
194988485,fr-le-grand-match,6,2021-03-08 12:37:46,READ
194988485,fr-en-dans-le-taxi,6,2021-03-08 16:31:52,READ
194988485,fr-en-le-petit-dejeuner,6,2021-03-08 16:33:50,READ
194988485,fr-en-regarde-mon-tableau,6,2021-03-09 23:36:49,READ
194988485,fr-en-c-est-une-urgence,7,2021-03-10 00:20:55,READ
194988485,fr-un-travail-important,7,2021-03-11 13:48:42,READ
194988485,fr-danger-1,7,2021-03-11 13:52:53,READ
194988485,fr-danger-2,7,2021-03-11 22:39:32,READ
194988485,fr-en-lettre-d-amour,5,2021-03-11 22:42:16,READ
194988485,fr-en-les-plantes-de-vikram,7,2021-03-13 07:28:22,READ
194988485,fr-un-nouveau-travail,7,2021-03-13 07:30:46,READ
194988485,fr-le-cadeau-d-anniversaire,7,2021-03-13 23:58:59,READ
194988485,fr-en-le-gateau,7,2021-03-14 00:01:14,READ
194988485,fr-dernier-arret,7,2021-03-20 14:24:30,READ
194988485,fr-c-est-toi,7,2021-03-20 14:27:18,READ
194988485,fr-en-la-promotion,7,2021-03-21 01:55:46,READ
194988485,fr-une-lettre-a-mathilde-1,7,2021-03-21 01:58:10,READ
194988485,fr-une-lettre-a-mathilde-2,7,2021-03-21 01:59:54,READ
194988485,fr-c-est-mon-ex,7,2021-03-21 02:02:32,READ
194988485,fr-la-chanson,7,2021-03-26 04:34:52,READ
194988485,fr-de-retour,7,2021-03-26 09:35:34,READ
194988485,fr-nouveau-professeur,6,2021-03-26 09:37:31,READ
194988485,fr-en-problemes-de-voiture,7,2021-03-26 09:39:26,READ
194988485,fr-une-journee-a-la-peche,7,2021-03-31 03:03:58,READ
194988485,fr-le-musee-d-art,7,2021-03-31 03:06:00,READ
194988485,fr-en-funerailles-en-mer,6,2021-04-03 06:41:25,READ
194988485,fr-la-fete-1,7,2021-04-03 06:44:16,READ
194988485,fr-la-fete-2,7,2021-04-04 12:17:09,READ
194988485,fr-pizza-gratuite,7,2021-04-04 12:20:59,READ
194988485,fr-en-un-fin-bizarre,7,2021-04-06 22:59:54,READ
194988485,fr-on-joue-au-basket,7,2021-04-06 23:02:00,READ
194988485,fr-l-immeuble,7,2021-04-08 00:05:13,READ
194988485,fr-un-tres-mauvais-film,7,2021-04-08 00:07:23,READ
194988485,fr-en-mon-groupe-prefere,7,2021-04-09 02:12:49,READ
194988485,fr-en-assieds-toi,6,2021-04-09 02:14:16,READ
194988485,fr-en-le-recyclage-c-est-important,6,2021-04-09 22:25:45,READ
194988485,fr-dans-la-foret-1,6,2021-04-09 22:27:39,READ
194988485,fr-dans-la-foret-2,6,2021-04-11 03:32:19,READ
194988485,fr-en-merci-maman,6,2021-04-11 03:34:13,READ
194988485,fr-en-une-grande-nouvelle,7,2021-04-12 10:08:12,READ
194988485,fr-en-une-journee-pleine-d-aventures,8,2021-04-12 10:10:37,READ
194988485,fr-en-la-premiere-nuit,9,2021-04-12 23:55:43,READ
194988485,fr-en-le-mot,7,2021-04-12 23:58:16,READ
194988485,fr-les-joies-du-camping,7,2021-04-14 14:30:26,READ
194988485,fr-en-la-nouvelle-relation,7,2021-04-14 14:33:03,READ
194988485,fr-on-se-connait,6,2021-04-15 09:04:01,READ
194988485,fr-en-j-ai-un-cheveu-blanc,8,2021-04-15 23:07:08,READ
194988485,fr-en-la-surprise-d-anniversaire,7,2021-04-17 15:04:12,READ
194988485,fr-en-la-surprise-d-anniversaire,8,2021-04-17 15:06:15,READ
194988485,fr-en-je-veux-sortir,8,2021-04-17 15:08:24,READ
194988485,fr-en-tu-peux-parler,8,2021-04-18 14:50:09,READ
194988485,fr-en-enfermee-dans-les-toilettes,8,2021-04-18 14:52:19,READ
194988485,fr-a-la-television,7,2021-04-23 21:38:31,READ
194988485,fr-en-je-peux-vous-prendre-en-photo,7,2021-04-25 23:41:46,READ
194988485,fr-le-pire-des-rendez-vous,7,2021-04-25 23:46:44,READ
194988485,fr-en-comment-etre-un-bon-copain,7,2021-05-16 11:11:07,READ
194988485,fr-la-lettre-oubliee,8,2021-05-30 06:58:32,READ
194988485,fr-la-boite-secrete,9,2021-05-30 07:02:34,READ
194988485,fr-en-l-ascenseur,8,2021-05-30 07:07:53,READ
194988485,fr-en-le-panneau,6,2021-06-01 18:09:45,READ
194988485,fr-en-ça-a-un-gout-bizarre,7,2021-06-03 18:58:25,READ
194988485,fr-en-ça-a-un-gout-bizarre,7,2021-06-03 19:00:21,LISTEN
194988485,fr-chambre-a-louer,8,2021-06-04 13:28:17,READ
194988485,fr-chambre-a-louer,8,2021-06-04 13:33:56,LISTEN
194988485,fr-en-un-nouvel-auteur,7,2021-06-26 22:13:33,READ
194988485,fr-en-le-mariage-de-mon-cousin,8,2021-06-27 00:14:10,READ
194988485,fr-en-toujours-en-retard,6,2021-08-18 20:58:19,READ
194988485,fr-en-jour-de-repos,6,2021-08-18 20:59:58,READ
194988485,fr-en-la-rupture-d-eddy,6,2021-08-19 21:55:39,READ
194988485,fr-en-deux-places,8,2021-08-19 21:58:20,READ
194988485,fr-en-tu-vieillis,8,2021-08-21 01:10:20,READ
194988485,fr-en-nouvelle-annee-nouvelle-bea,7,2021-08-22 10:48:21,READ
194988485,fr-en-aller-a-rome,7,2021-08-28 03:22:51,READ
194988485,fr-en-trop-vite,8,2021-08-28 03:25:17,READ
194988485,fr-en-une-robe-rose,8,2021-08-30 01:54:26,READ
194988485,fr-en-le-bureau-du-manager,6,2021-09-19 06:59:46,READ
194988485,fr-en-la-recette-de-ma-grand-mere,8,2021-09-19 07:02:30,READ
194988485,fr-en-une-histoire-d-amour,7,2021-10-02 11:35:47,READ
194988485,fr-en-je-ne-crois-pas-aux-horoscopes,8,2021-10-02 11:38:51,READ
194988485,fr-en-le-voleur-de-sandwich,8,2021-10-03 05:30:58,READ
194988485,fr-en-tu-romps-avec-moi,8,2021-10-03 05:35:45,READ
194988485,fr-en-la-recette-a-change,7,2021-10-03 23:32:16,READ
194988485,fr-en-le-gateau-de-mariage,8,2021-10-03 23:36:04,READ
194988485,fr-en-trouver-l-amour,7,2021-10-03 23:39:04,READ
194988485,fr-en-le-match-de-boxe,8,2021-10-04 20:24:34,READ
194988485,fr-en-pneu-creve,6,2021-10-04 20:36:26,READ
194988485,fr-en-une-tente-geniale,5,2021-10-05 20:06:43,READ
194988485,fr-en-l-avant-premiere,7,2021-10-06 22:17:53,READ
194988485,fr-en-il-est-temps-de-changer,6,2021-10-06 22:21:07,READ
194988485,fr-en-je-veux-le-sandwich,7,2021-10-06 22:24:08,READ
194988485,fr-en-le-canard-bleu,8,2021-10-07 22:31:45,READ
194988485,fr-en-demandons-notre-chemin,8,2021-10-08 01:15:16,READ
194988485,fr-en-le-pull,8,2021-10-13 21:32:28,READ
194988485,fr-en-c-est-tout-un-art,8,2021-10-25 14:02:35,READ
194988485,fr-en-j-ai-mal-a-la-jambe,7,2021-11-02 04:42:18,READ
194988485,fr-en-la-vieille-dame,6,2021-11-02 04:46:38,READ
194988485,fr-en-diner-avec-la-pdg,8,2021-11-07 08:55:22,READ
