leaderboard,timestamp,tier,score
leagues,2022-04-17T12:27:44Z,9,482.0
leagues,2022-04-25T14:31:46Z,8,1493.0
leagues,2022-05-01T10:05:23Z,9,6518.0
leagues,2022-05-09T03:09:17Z,9,2497.0
leagues,2022-05-15T22:28:35Z,9,245.0
leagues,2022-05-23T13:47:00Z,8,82.0
leagues,2022-05-29T11:13:40Z,7,113.0
leagues,2022-06-08T14:08:02Z,6,568.0
leagues,2022-06-13T12:58:05Z,7,133.0
leagues,2022-06-19T15:07:46Z,6,1542.0
leagues,2022-06-26T22:36:07Z,7,7212.0
leagues,2022-07-03T13:43:04Z,8,6245.0
leagues,2022-07-11T02:42:44Z,9,5227.0
leagues,2022-07-17T13:14:15Z,9,3756.0
leagues,2022-07-24T12:45:02Z,9,1693.0
leagues,2022-07-31T13:39:30Z,8,894.0
leagues,2022-08-07T15:22:01Z,7,995.0
leagues,2022-08-14T12:00:21Z,7,2401.0
leagues,2022-08-21T11:23:21Z,7,944.0
leagues,2022-08-28T23:06:11Z,7,1504.0
leagues,2022-09-04T12:52:36Z,7,922.0
leagues,2022-09-11T23:56:55Z,7,1255.0
leagues,2022-09-18T12:06:23Z,8,2332.0
leagues,2022-09-25T23:25:05Z,8,773.0
leagues,2022-10-02T21:21:24Z,8,451.0
leagues,2022-10-09T12:15:04Z,8,722.0
leagues,2022-10-16T13:02:38Z,8,717.0
leagues,2022-10-24T00:50:21Z,8,447.0
leagues,2022-10-31T03:10:53Z,7,761.0
leagues,2022-11-06T10:02:41Z,8,886.0
leagues,2022-11-14T15:32:42Z,8,446.0
leagues,2022-11-20T14:07:39Z,8,231.0
leagues,2022-11-27T14:54:03Z,7,678.0
leagues,2022-12-04T13:50:00Z,8,294.0
leagues,2022-12-11T11:25:29Z,7,3494.0
leagues,2022-12-19T03:15:28Z,8,906.0
leagues,2022-12-25T13:58:07Z,8,674.0
leagues,2023-01-03T03:50:48Z,8,1110.0
leagues,2023-01-09T02:43:43Z,8,3917.0
leagues,2023-01-16T06:43:55Z,9,2567.0
leagues,2023-01-22T15:40:49Z,9,3010.0
leagues,2023-01-29T12:31:51Z,9,2388.0
leagues,2023-02-05T22:06:43Z,9,1436.0
leagues,2023-02-13T02:29:12Z,9,756.0
leagues,2023-02-20T03:43:55Z,9,2960.0
leagues,2023-02-26T10:17:26Z,9,707.0
leagues,2023-03-08T14:59:15Z,9,712.0
leagues,2023-03-12T15:52:26Z,9,968.0
leagues,2023-03-20T06:05:38Z,9,703.0
leagues,2023-03-28T15:03:42Z,8,1025.0
leagues,2023-04-02T11:30:16Z,9,918.0
leagues,2023-04-09T14:07:54Z,8,1995.0
leagues,2023-04-17T03:04:27Z,9,644.0
leagues,2023-04-23T14:23:41Z,8,434.0
leagues,2023-04-30T11:12:33Z,8,385.0
leagues,2023-05-09T10:25:29Z,7,793.0
leagues,2023-05-15T03:07:28Z,8,671.0
leagues,2023-05-21T12:44:04Z,8,708.0
leagues,2023-05-28T10:01:13Z,8,1166.0
leagues,2023-06-05T00:00:12Z,8,711.0
leagues,2023-06-11T15:51:53Z,8,855.0
leagues,2023-06-18T16:10:09Z,9,579.0
leagues,2023-06-25T14:51:44Z,9,2299.0
leagues,2023-07-02T12:36:57Z,9,780.0
leagues,2023-07-09T14:15:18Z,8,183.0
leagues,2023-07-16T14:31:47Z,7,596.0
leagues,2023-07-23T14:19:39Z,7,1314.0
leagues,2023-07-31T02:58:41Z,8,771.0
leagues,2023-08-06T11:19:16Z,8,1895.0
leagues,2023-08-13T14:30:54Z,9,1811.0
leagues,2023-08-20T11:33:24Z,8,502.0
leagues,2023-08-27T13:58:48Z,7,1156.0
leagues,2023-09-04T01:16:49Z,8,1818.0
leagues,2023-09-10T15:35:42Z,8,2551.0
leagues,2023-09-17T14:36:28Z,8,213.0
leagues,2023-09-25T05:04:38Z,7,177.0
leagues,2023-10-01T13:44:40Z,6,556.0
leagues,2023-10-09T02:09:35Z,7,226.0
leagues,2023-10-15T14:51:53Z,6,290.0
leagues,2023-10-22T23:45:22Z,6,796.0
leagues,2023-10-29T15:43:31Z,7,2305.0
leagues,2023-11-05T12:45:46Z,8,745.0
leagues,2023-11-13T15:26:13Z,7,178.0
leagues,2023-11-19T13:40:07Z,6,977.0
leagues,2023-11-27T03:17:39Z,7,292.0
leagues,2023-12-03T14:37:18Z,6,130.0
leagues,2023-12-10T12:55:50Z,5,170.0
leagues,2023-12-17T14:33:10Z,5,602.0
leagues,2023-12-24T15:11:08Z,6,616.0
leagues,2023-12-31T15:38:41Z,6,67.0
leagues,2024-01-08T14:58:24Z,5,1951.0
leagues,2024-01-14T11:52:59Z,6,6519.0
leagues,2024-01-21T16:00:17Z,7,1243.0
leagues,2024-01-28T23:53:40Z,7,2717.0
leagues,2024-02-04T10:01:40Z,8,3765.0
leagues,2024-02-11T15:57:13Z,8,8273.0
leagues,2024-02-18T11:42:41Z,9,3390.0
leagues,2024-02-25T14:06:01Z,8,3959.0
leagues,2024-03-03T11:13:11Z,8,1397.0
leagues,2024-03-10T13:51:45Z,7,1827.0
leagues,2024-03-18T05:36:54Z,7,1669.0
leagues,2024-03-24T11:54:56Z,7,2651.0
leagues,2024-03-31T10:01:39Z,7,3286.0
leagues,2024-04-07T15:51:26Z,7,3721.0
leagues,2024-04-15T00:10:16Z,8,5529.0
leagues,2024-04-21T10:03:14Z,9,4114.0
leagues,2024-04-28T12:21:38Z,9,821.0
