Artist,Song Title,Song ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Bini,No Fear,5xNbWnsQJ9lyzPlK36J1cm,0.643,0.729,11.0,-4.039,1.0,0.0791,0.265,0.0,0.683,0.755,127.919,audio_features,5xNbWnsQJ9lyzPlK36J1cm,spotify:track:5xNbWnsQJ9lyzPlK36J1cm,https://api.spotify.com/v1/tracks/5xNbWnsQJ9lyzPlK36J1cm,https://api.spotify.com/v1/audio-analysis/5xNbWnsQJ9lyzPlK36J1cm,207305.0,4.0
Bini,Kabataang Pinoy,6aXWWGw7sQJLx82jZndSQZ,0.603,0.941,4.0,-4.214,1.0,0.208,0.0795,0.00064,0.0752,0.612,161.09,audio_features,6aXWWGw7sQJLx82jZndSQZ,spotify:track:6aXWWGw7sQJLx82jZndSQZ,https://api.spotify.com/v1/tracks/6aXWWGw7sQJLx82jZndSQZ,https://api.spotify.com/v1/audio-analysis/6aXWWGw7sQJLx82jZndSQZ,257906.0,4.0
Bini,8,6i6gQ9Mqnv4Sn7OlfObobC,0.56,0.914,1.0,-2.18,1.0,0.066,0.0664,0.0,0.15,0.483,100.024,audio_features,6i6gQ9Mqnv4Sn7OlfObobC,spotify:track:6i6gQ9Mqnv4Sn7OlfObobC,https://api.spotify.com/v1/tracks/6i6gQ9Mqnv4Sn7OlfObobC,https://api.spotify.com/v1/audio-analysis/6i6gQ9Mqnv4Sn7OlfObobC,226387.0,4.0
Bini,Here With You,1Q6UGbt7c2l4HnopdXNHpS,,,,,,,,,,,,,,,,,,
Bini,Love Yourself,51hPr73ZZSP9Wfki09vyOI,0.778,0.934,7.0,-2.967,1.0,0.0726,0.0808,0.00031,0.0549,0.84,125.966,audio_features,51hPr73ZZSP9Wfki09vyOI,spotify:track:51hPr73ZZSP9Wfki09vyOI,https://api.spotify.com/v1/tracks/51hPr73ZZSP9Wfki09vyOI,https://api.spotify.com/v1/audio-analysis/51hPr73ZZSP9Wfki09vyOI,175238.0,4.0
Bini,Gandang Vitakeratin,5tQvi25iQvL5Raxg4rkdEN,0.825,0.785,2.0,-1.5,1.0,0.0858,0.141,0.0,0.112,0.792,124.022,audio_features,5tQvi25iQvL5Raxg4rkdEN,spotify:track:5tQvi25iQvL5Raxg4rkdEN,https://api.spotify.com/v1/tracks/5tQvi25iQvL5Raxg4rkdEN,https://api.spotify.com/v1/audio-analysis/5tQvi25iQvL5Raxg4rkdEN,131139.0,4.0
Bini,Lagi - Acoustic,4o9MuuglWRF9SqZ9hDDHE4,0.777,0.805,4.0,-4.544,1.0,0.238,0.115,7.16e-05,0.266,0.893,117.005,audio_features,4o9MuuglWRF9SqZ9hDDHE4,spotify:track:4o9MuuglWRF9SqZ9hDDHE4,https://api.spotify.com/v1/tracks/4o9MuuglWRF9SqZ9hDDHE4,https://api.spotify.com/v1/audio-analysis/4o9MuuglWRF9SqZ9hDDHE4,242051.0,4.0
Bini,Made for All,580EzR9sfqKVUTRGAcPzcN,0.677,0.79,2.0,-8.359,1.0,0.0728,0.373,0.0,0.0941,0.706,134.001,audio_features,580EzR9sfqKVUTRGAcPzcN,spotify:track:580EzR9sfqKVUTRGAcPzcN,https://api.spotify.com/v1/tracks/580EzR9sfqKVUTRGAcPzcN,https://api.spotify.com/v1/audio-analysis/580EzR9sfqKVUTRGAcPzcN,120226.0,4.0
Bini,"Bata, Kaya Mo!",0pxEX9Q7eO5BcQQjoNRYz0,0.756,0.443,10.0,-11.042,1.0,0.0588,0.0164,0.00155,0.289,0.335,130.066,audio_features,0pxEX9Q7eO5BcQQjoNRYz0,spotify:track:0pxEX9Q7eO5BcQQjoNRYz0,https://api.spotify.com/v1/tracks/0pxEX9Q7eO5BcQQjoNRYz0,https://api.spotify.com/v1/audio-analysis/0pxEX9Q7eO5BcQQjoNRYz0,211211.0,4.0
Bini,Super Crush,56wTbR92GiVk86sH3KWR34,0.747,0.783,2.0,-4.963,1.0,0.112,0.0936,0.0,0.281,0.488,172.047,audio_features,56wTbR92GiVk86sH3KWR34,spotify:track:56wTbR92GiVk86sH3KWR34,https://api.spotify.com/v1/tracks/56wTbR92GiVk86sH3KWR34,https://api.spotify.com/v1/audio-analysis/56wTbR92GiVk86sH3KWR34,159070.0,4.0
